"name","type","value"
"final_table","TABLE","[]"
"subject_start","STRING",""
"link_cell","STRING","Link"
"release_no_cell","STRING","Release No."
"file_path","STRING","C:\Users\Praveena\studio\press_releases.xlsx"
"user_email","STRING","user@test.com"
"secgov_url","STRING","https://www.sec.gov/news/pressreleases"
"start_date_string","STRING",""
"current_date_string","STRING",""
"subject","STRING",""
"title_column","LIST","[]"
"press_release_date","DATE","2019-02-05T13:08:21+03:00[Europe/Minsk]"
"title_cell","STRING","Title"
"date_cell","STRING","Date"
"text_for_subject","STRING","Press Releases for"
"current_date","DATE","2019-01-31T12:44:28+03:00[Europe/Minsk]"
"date_includes_september","STRING",""
"link_column","LIST","[]"
"release_no_column","LIST","[]"
"date_column","LIST","[]"
"temporary_table","TABLE","[]"
"start_date","DATE","2019-02-01T15:44:21+03:00[Europe/Minsk]"
